Card_Number,CardHolder_Name,Age,Gender,Balance,Points
4822769126150450,Joy Brown,30,Female,4973.92,8803
4543527089368031,Stephanie Diaz,50,Male,2730.04,7512
4244033168703950,Diane Ramirez,44,Female,2259.53,2081
4570661591511312,Natasha Miller,68,Male,3053.43,3795
4832339499753209,Rebecca Ramirez,41,Female,1183.49,2205
4146058623689649,Nicholas Parker,69,Female,4918.67,5845
4775556893026577,Sara Brennan,31,Male,3636.67,9573
4401153329009197,Michael Vance,70,Male,4291.96,9416
4185641170641985,Isaac Shannon,61,Female,4493.71,8508
4913673572773762,Philip Rogers,31,Female,3865.09,9939
4425894265762101,Shannon Callahan,23,Female,1268.97,7474
4738845334025226,Frederick Lewis,24,Female,606.16,8620
4305400990481942,Danny Reyes,41,Female,1514.4,3488
4639834478521589,Jeanette Sanchez,25,Male,4199.94,7597
4276095709546890,Billy Hopkins,61,Male,1069.83,9895
4090190778176224,Gary Bradford,48,Female,1657.97,2510
4830174822559547,Garrett Brown,34,Male,2835.17,4817
4974034496962092,Natalie Ward,40,Male,1712.35,7135
4605376634503221,Katrina Cook,27,Male,4187.49,884
4392657403562179,Stephen Reynolds,45,Female,2710.51,6553
4980852394627678,Joseph Moyer,58,Female,1911.42,7798
4783173641437217,Miss Toni Johnson,53,Male,1792.28,6011
4046786973302492,Nicholas Miles,44,Female,1302.51,5878
4857888643002576,Tanya Campbell,39,Male,4794.16,4790
4401110094258241,Anthony Hall,61,Male,1139.55,564
4803286823815071,Veronica Russell,33,Male,2862.96,9376
4791751133956428,Jeffery Delgado,30,Female,4698.48,1510
4824285820960977,Morgan Woods,30,Female,2681.04,126
4170480227789928,Valerie Robinson,46,Male,724.45,961
4406628458954159,Edward Pierce,28,Female,2136.79,9988
4222161650636038,Michelle Walls,24,Male,2447.85,4517
4324151254904450,Anna White,68,Female,923.94,6756
4999962854946094,Christian Garcia,63,Male,3681.65,9691
4205760259561641,Cynthia Roberts,63,Female,4968.0,8043
4228870564431355,Rachel Powers,23,Female,2212.21,5655
